lang	standardized_p	standardized_cf	standardized_i	standardized_h	standardized_r
Afrikaans	-1.039861934989623	0.7156537574380174	-0.20051232978243683	-2.0890785919726307	2.0204677410855796
Albanian	0.10445721278841424	0.6892450514235734	-0.11400777191324486	-0.6918625350645757	1.0870055048994278
Armenian	-1.3728640161426697	-2.5865908341944044	-0.7090284958855699	0.31994163086436295	-1.8518998718000403
Bulgarian	0.6977569859752006	0.4129322235946781	-0.30552110639290264	0.010805111301799866	0.3718866867206019
Czech	0.8134768070745464	0.011446545053420378	0.21623963084871745	1.1889399341117985	-0.891253474826272
Danish	-0.5547718591909571	0.078592841215695	-0.2909377205839664	-0.5306430727535794	0.48522936439808634
Dutch	-0.5623778568219	0.6557561028443953	0.7591446823439366	-0.8643460719489577	0.7574974875912419
English	-1.4184041280086095	0.6690933039547081	3.5176615168043206	-1.9509495924623808	1.3546587878160858
Farsi	-0.30674602888109176	-0.35470153806564675	-1.0274101846062802	-0.14849401652579605	0.563942629894679
French	-0.3040296011557549	0.732557275231307	0.051837431840751964	-0.5803016712757004	0.5778836893861693
German	-0.711717465768943	0.5039088499114066	1.8421938022625344	-0.6875389481636934	0.40564240169070453
Greek	1.1730679219626545	1.030155737155449	0.4591889638512924	-0.34842366556905635	0.9274517791462409
Gujarati	-1.5580924290373972	-2.3334160295038555	-0.4825710597440461	0.09569355860109328	-1.2510274518703492
Hindi	-1.4568815277886735	0.039389553103562736	2.678681820110438	-0.9462599443829567	0.7143316231719096
Icelandic	0.21956983239621405	0.05702654211391812	0.08730682415139945	0.06961028825908246	0.3432501331264761
Italian	0.4936094529228337	0.5842464013805986	-0.09790984626861399	-0.016876580579001453	0.2531451343300569
Latvian	-1.1180630955060822	-2.46282505071478	-0.5225992991948069	0.20878069468845384	-1.379670271609987
Lithuanian	1.9021890814162783	-0.06015671141255238	-0.9881113768273114	1.88767209782342	-1.5198983071506176
Marathi	1.3613962582615893	0.34082377011695025	-0.37006418865911794	2.0150328124052987	-1.4434709756770476
Nepali	0.9771016300595367	0.3616116916006175	-0.6943299779362391	1.9437024677410886	-1.4221073898006524
Norwegian	-0.8185210123345362	0.25109703862930344	-0.2655679514611165	-1.0458832673556762	0.9268931690491365
Polish	1.079143438612481	0.21839769426849634	-0.32325181511986073	1.0165064191183857	-0.6357935793146914
Portuguese	0.18812318672878647	0.3875339116037429	0.5740167446545023	-0.6410830265040277	0.9401331114805239
Romanian	-0.6540652820453254	0.6685881069429537	-0.01551836445992145	-0.3138598343408713	0.0003597368178828396
Russian	2.050985404818254	0.016356311567654873	-1.0034086957477801	1.102733896195214	-0.5055904055667004
Serbian	0.5406515895310186	0.12924351939417061	-0.39388622366586906	0.49847577893546363	-0.30209271779877694
Slovak	0.747994919907311	-0.021353838709737047	-0.4906589148489919	0.8915576550225492	-0.4590096929870809
Slovene	1.0567408993717626	0.6923211398951437	-0.6834666361377559	0.6189102871285951	-0.23679747569633602
Spanish	-0.0695539514993341	0.5961129178566932	-0.1038394112128574	-0.8603984930928306	1.111300805014523
Swedish	-0.49890932196873766	0.5012219502488912	-0.15313134696948444	-0.5595715037173556	0.5377570958738874
Ukranian	-0.9614051106872497	-2.524268233944362	-0.9505386994497168	0.4072081835124817	-1.4802252673946668
