lang	standardized_p	standardized_cf	standardized_i	standardized_h	standardized_r
Afrikaans	-0.8553479992619072	0.751766224788994	-0.15145337451620425	-1.830695873979597	2.0222157869389186
Albanian	0.20711116058945964	0.7292062021151848	-0.06424339434157247	-0.5328677958596627	1.116904630107674
Armenian	-1.1645284512866856	-2.069224429616587	-0.6641163584874585	0.40696384263954366	-1.7333701033061555
Bulgarian	0.7579686550078868	0.49316193483928084	-0.25731847055205787	0.11981708886660986	0.42335215475273147
Czech	0.8654103456779179	0.15018693234781144	0.26869709061120495	1.2141478083669857	-0.8016945976066873
Danish	-0.4049593158373282	0.20754763616475344	-0.2426161610020857	-0.38311633552386254	0.533276677319161
Dutch	-0.4120212109987387	0.7005977788605556	0.816029392444375	-0.6930820848919259	0.7973338185950002
English	-1.2068108067699206	0.7119912776290769	3.597041218531699	-1.7023923857104137	1.3764861041016991
Farsi	-0.17467625555284585	-0.16260041333357106	-0.985094367568615	-0.028150635876103624	0.6096161313241053
French	-0.17215415013805632	0.766206301651343	0.10295423417315416	-0.4292425757452307	0.6231367604469928
Gaelic	-1.8982830960199624	-2.559212010073263	-1.0839577368615354	-1.91242855379651	-1.9286209835924681
German	-0.5506776651553404	0.5708800461079471	1.90791049793572	-0.5288517580748022	0.45608987480673824
Greek	1.199277758939224	1.0204341326184223	0.5136276126148368	-0.21385871652270502	0.9621626786512174
Gujarati	-1.3365063687469174	-1.8529461564163756	-0.4358122205001371	0.1986671778477138	-1.1506186169503028
Hindi	-1.242535688174703	0.174057654936069	2.751219859312312	-0.7691691890350285	0.7554697376089823
Icelandic	0.3139890865197141	0.18912431029410576	0.13871287020820935	0.17443928520957314	0.3955792139127466
Italian	0.5684250151293566	0.639509572360085	-0.04801419427509893	0.09410447499050643	0.30819157514768275
Latvian	-0.9279549633794342	-1.9634957021274424	-0.4761668798951365	0.3037101021418516	-1.2753818643981616
Lithuanian	1.8762405240971238	0.08901880512085064	-0.9454750881721113	1.8631771525882368	-1.411380944118988
Marathi	1.3741338437551562	0.43156223568926927	-0.32238788496786086	1.9814783348689229	-1.3372584856116632
Nepali	1.017330107133471	0.4493206211155145	-0.649297977924252	1.9152219218614415	-1.316539176469771
Norwegian	-0.64984091569918	0.3549118653265201	-0.21703950797087368	-0.8617060197924168	0.961620914952995
Polish	1.112072255244327	0.3269779730034724	-0.27519376862477235	1.053979983025359	-0.5539387864294927
Portuguese	0.2847920073649752	0.471465056011572	0.6293917842841238	-0.4857003791404118	0.9744615710977049
Romani	-1.5156351968537876	-1.7934531676166607	-0.4875587889331654	-1.490769304375727	-0.014481251642644162
Romanian	-0.4971496867049854	0.7115597057060268	0.035049168767111887	-0.18175350957668357	0.06302960524646535
Russian	2.0143925571707677	0.1543811720740463	-0.960897152773568	1.1340738527618668	-0.42766224167017514
Serbian	0.6121019465478282	0.25081671748684625	-0.3464041825113923	0.5727983455600494	-0.2303015772705462
Slovak	0.8046127692672872	0.12216672564015418	-0.4439660299725143	0.9379191822864853	-0.3824862965095297
Slovene	1.0912723035294163	0.7318339956022005	-0.6383460483818969	0.6846660023442835	-0.16697548985981917
Spanish	0.04554805490088798	0.6496467173081716	-0.05399211328849496	-0.6894153086229702	1.1404672397132036
Swedish	-0.3530929597778931	0.5685847228431327	-0.10368601203779587	-0.4099870043621707	0.5842202929306181
Ukranian	-0.7825036605171056	-2.015984438457508	-0.9075960153241496	0.4880228755267624	-1.3729043522182638
